name,artist,album cover
Rolling Ocean Waves,Ocean Waves For Sleep,https://i.scdn.co/image/ab67616d0000b2735e8ad774a39de122938bb32a
Je te laisserai des mots,Patrick Watson,https://i.scdn.co/image/ab67616d0000b27339372cb9fc75f395a5090a8d
Lovely Day,Bill Withers,https://i.scdn.co/image/ab67616d0000b2735ade9b4d547203c9061fc340
Baby Can I Hold You,Tracy Chapman,https://i.scdn.co/image/ab67616d0000b2737602becfedf6e25752cb54ff
Woman - Remastered 2010,John Lennon,https://i.scdn.co/image/ab67616d0000b2736eac0f2b77d85a59f0cf9b3e
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2
That's Life,Frank Sinatra,https://i.scdn.co/image/ab67616d0000b2735c21d73934bb9760a2f791a2
Right Down the Line,Gerry Rafferty,https://i.scdn.co/image/ab67616d0000b273dc60cf9a010f86354e6735dd
Culpable O No - Miénteme Como Siempre,Luis Miguel,https://i.scdn.co/image/ab67616d0000b27384fe22dc0e9d864fd44ff9f8
Long Long Time,Linda Ronstadt,https://i.scdn.co/image/ab67616d0000b2734de8bcd79e1f0f4a23b4f007
Seguir Viviendo Sin Tu Amor,Luis Alberto Spinetta,https://i.scdn.co/image/ab67616d0000b273217ce66ac32c161c7516228c
Firuze,Sezen Aksu,https://i.scdn.co/image/ab67616d0000b27317afafa6b7cccfe930e2002d
Be Quiet and Drive (Far Away),Deftones,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6
Instant Crush (feat. Julian Casablancas),Daft Punk,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937
Black Out Days - Future Islands Remix,Phantogram,https://i.scdn.co/image/ab67616d0000b2735590ae4417d7af76c76edc7a
Mr. Rager,Kid Cudi,https://i.scdn.co/image/ab67616d0000b27359e842b6a3566a141f27f815
Sweet,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a
Sunsetz,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a
Teardrop,Massive Attack,https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e
Got the Life,Korn,https://i.scdn.co/image/ab67616d0000b27350d216aebaf98e8ac9947fd5
There She Goes,The La's,https://i.scdn.co/image/ab67616d0000b2730e42d457a15ef2f133976f6b
Apocalypse,Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b2736b701428ed4c6e053902174a
